"case_id","case","round_1","round_3","round_4","round_5","round_6","round_7","round_9","round_12","status","round_13","round_14","round_15","round_16","round_17","round_20","round_21","round_22"
"CLS-06","失败次数与实际调用一致","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-07","审计问题先结合完整关联上下文确认","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-08","原目标解决且无回归时提交并独立登记旁支问题","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-09","候选引入回归时拒绝提交","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-10","需求关系问题有独立修正与复核处理器","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-11","候选检查点恢复后直接复核不重复生成","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-12","来源内容角色与功能类型使用不同字段","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-13","待澄清节点只允许返回澄清项","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-14","重复澄清由平台合并且不形成Q到Q引用","NOT_RUN","NOT_RUN","NOT_RUN","PASS","FAIL","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-15","无所属功能的来源遗漏回到功能边界处理","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"UI-01","仅剩业务阻塞时页面显示需要业务确认","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"STATE-01","已提交工作在后续确认失败恢复后不重复执行","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"STATE-02","没有数据或证据变化的候选不计有效修复","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"STATE-03","冻结版本全新任务无人工改代码续跑验收","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","UNVERIFIED","NOT_RUN","NOT_RUN","UNVERIFIED","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"STATE-04","当前结论绑定实体和查询范围版本","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"BUDGET-01","大功能在模型调用前按来源包拆分并保持实际请求低于硬预算","","","","","","","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"BUDGET-02","每次实际尝试独立计量且重试不能越过任务总截止","","","","","","","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"STATE-05","来源承接决定绑定真实需求和依赖变化后自动失效","","","","","","","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"STATE-06","review-ready恢复不重复生成或复核并直接提交","","","","","","","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"STATE-07","无冲突修正复核并行且结果通过单写入队列提交","","","","","","","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"STATE-08","最终检查绑定验证版本和内容指纹且失效时不反推通过","","","","","","","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-01","最终来源覆盖证明失效必须回流并反映平台未完成","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-02","已有明确答案的澄清必须清除后才关闭问题","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-03","接受修复输出必须保留逐字段证据绑定","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-04","局部复核发现的新功能边界问题必须回流","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-05","问题无法形成执行计划时不得无限空转","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-06","候选复核必须同步新增需求的功能归属","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-07","当前既有195项测试保持通过","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-08","上下文标题不得作为业务证据参与候选分配","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-09","删除需求必须同步清理端点不存在的关系","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"LIVE-13A","冻结PRD五类结构检查通过且无开放平台问题","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"LIVE-13B","节点超时后从检查点恢复且不重复已完成候选","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"LIVE-13C","证据不足的平台问题保持开放并阻断交付","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-10","边界修复三次无变化后停止并保留平台问题","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-11","删除澄清不得销掉未修复的需求问题","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-12","局部修复有界补入同功能跨来源依据","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-13","来源型澄清可读取同源已有需求","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-14","当前模型输出缺少逐字段证据时拒绝","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-15","真实长查询仍能召回直接回答再次生成的需求","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-16","大量澄清按提示预算分批且全部覆盖","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-17","真实验收脚本与当前流水线共用版本常量","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-18","跨批相同业务澄清合并并保留全部来源","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-19","单项十二条长需求证据完整分片","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-20","全部问题对核对且不同业务保持独立","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-21","分片删除候选结合全部理由处理冲突","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-22","跨批失败不部分提交且重试复用完成分片","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-23","跨批检查取消不提交批内修改","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-24","联合阈值和行为关闭澄清并引用两段原文","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-25","例外反证重读受影响来源且复用无关报告","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-26","伪造证据和空状态不能绕过输出校验","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-27","复核按最终请求重分片且覆盖全部来源","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-28","unknown不否决已证明相同的关系","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-29","真实冲突只重审涉及路径并持久化反馈","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-30","三次耗尽重启不重置且不空转","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"RVW-31","平台未查清不得转为业务澄清","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN"
"SG19-01","任务族归档恢复删除及迟到回调不复活","","","","","","","","","PASS","","","","","","PASS","PASS","PASS"
"SG19-02","待处理事项不为零仍生成非空本期交付包","","","","","","","","","PASS","","","","","","PASS","PASS","PASS"
"SG19-03","功能和需求批量范围调整持久化并版本冲突保护","","","","","","","","","PASS","","","","","","PASS","PASS","PASS"
"SG19-04","历史产物按真实记录从Electron打开","","","","","","","","","PASS","","","","","","PASS","PASS","PASS"
"SG19-05","任务详情全部展开弹窗及1100像素布局截图验收","","","","","","","","","PASS","","","","","","PASS","PASS","PASS"
